method,design,sample,adjustment,coef,se,tstat,pval,ci_low,ci_high,n,bandwidth,h_selected,error
RDFlex,sharp,Auth,no covariates,-30.53,29.96,-1.02,0.3081,-89.51,28.44,464,auto,,
RDFlex,sharp,Auth,linear (Ridge),-47.49,31.61,-1.5,0.133,-110.96,20.83,464,auto,,
RDFlex,sharp,Auth,ML (RandomForest),-34.15,30.68,-1.11,0.2656,-95.02,26.71,464,auto,,
RDFlex,sharp,Auth,ML (LightGBM),-39.16,33.71,-1.16,0.2453,-107.71,25.53,464,auto,,
RDFlex,sharp,Auth,ML (XGBoost),-33.94,31.31,-1.08,0.2782,-96.84,28.95,464,auto,,
RDFlex,sharp,Auth,lasso+interactions,-30.79,29.5,-1.04,0.2968,-88.68,26.97,464,auto,,
RDFlex,sharp,Auth,ML (NNet),-32.21,30.46,-1.06,0.2902,-92.89,28.47,464,auto,,
RDFlex,sharp,Auth,ML (SuperLearner),-34.07,30.5,-1.12,0.264,-94.45,26.31,464,auto,,
RDFlex,sharp,NoAuth,no covariates,28.13,15.12,1.86,0.0628,-1.53,57.79,1138,auto,,
RDFlex,sharp,NoAuth,linear (Ridge),32.65,16.55,1.97,0.0486,-0.11,65.12,1138,auto,,
RDFlex,sharp,NoAuth,ML (RandomForest),28.26,15.03,1.88,0.0602,-1.21,57.81,1138,auto,,
RDFlex,sharp,NoAuth,ML (LightGBM),29.04,16.74,1.73,0.0828,-3.54,61.62,1138,auto,,
RDFlex,sharp,NoAuth,ML (XGBoost),32.28,15.76,2.05,0.0406,1.48,63.96,1138,auto,,
RDFlex,sharp,NoAuth,lasso+interactions,27.34,15.18,1.8,0.0716,-2.41,57.09,1138,auto,,
RDFlex,sharp,NoAuth,ML (NNet),30.84,16.83,1.83,0.0669,-0.76,63.38,1138,auto,,
RDFlex,sharp,NoAuth,ML (SuperLearner),25.84,15.85,1.63,0.1031,-5.33,57.65,1138,auto,,
RDFlex,sharp,Auth_NegRet,no covariates,-54.28,52.05,-1.04,0.2971,-154.79,46.41,214,auto,,
RDFlex,sharp,Auth_NegRet,linear (Ridge),-58.0,57.44,-1.01,0.3126,-171.71,63.5,214,auto,,
RDFlex,sharp,Auth_NegRet,ML (RandomForest),-62.4,52.49,-1.19,0.2345,-165.99,39.79,214,auto,,
RDFlex,sharp,Auth_NegRet,ML (LightGBM),-50.34,60.51,-0.83,0.4055,-169.42,64.06,214,auto,,
RDFlex,sharp,Auth_NegRet,ML (XGBoost),-53.54,52.39,-1.02,0.3069,-153.62,51.74,214,auto,,
RDFlex,sharp,Auth_NegRet,lasso+interactions,-45.94,59.24,-0.78,0.4381,-162.05,68.86,214,auto,,
RDFlex,sharp,Auth_NegRet,ML (NNet),-48.48,60.79,-0.8,0.4252,-164.17,72.72,214,auto,,
RDFlex,sharp,Auth_NegRet,ML (SuperLearner),-47.64,56.93,-0.84,0.4027,-158.6,64.23,214,auto,,
RDFlex,sharp,Auth_PosRet,no covariates,-25.71,39.07,-0.66,0.5105,-101.63,50.32,250,auto,,
RDFlex,sharp,Auth_PosRet,linear (Ridge),-51.2,48.15,-1.06,0.2877,-145.57,43.02,250,auto,,
RDFlex,sharp,Auth_PosRet,ML (RandomForest),-25.91,39.51,-0.66,0.512,-105.61,52.28,250,auto,,
RDFlex,sharp,Auth_PosRet,ML (LightGBM),-22.61,40.35,-0.56,0.5752,-97.79,52.3,250,auto,,
RDFlex,sharp,Auth_PosRet,ML (XGBoost),-22.9,39.3,-0.58,0.5601,-100.72,53.4,250,auto,,
RDFlex,sharp,Auth_PosRet,lasso+interactions,-24.6,38.21,-0.64,0.5196,-99.37,50.16,250,auto,,
RDFlex,sharp,Auth_PosRet,ML (NNet),-25.23,45.69,-0.55,0.5807,-114.78,64.32,250,auto,,
RDFlex,sharp,Auth_PosRet,ML (SuperLearner),-22.78,42.67,-0.53,0.5935,-107.4,60.07,250,auto,,
RDFlex,fuzzy,All,no covariates,-46.82,63.88,-0.73,0.4636,-171.95,78.51,9500,auto,,
RDFlex,fuzzy,All,linear (Ridge),353.44,567.16,0.62,0.5332,-758.17,1465.05,9500,auto,,
RDFlex,fuzzy,All,ML (RandomForest),,,,,,,9500,auto,,Matrix is not positive definite
RDFlex,fuzzy,All,ML (LightGBM),-56.17,67.44,-0.83,0.4049,-186.75,74.42,9500,auto,,
RDFlex,fuzzy,All,ML (XGBoost),-52.97,67.65,-0.78,0.4336,-186.87,81.83,9500,auto,,
RDFlex,fuzzy,All,lasso+interactions,-48.72,62.86,-0.78,0.4383,-171.85,74.41,9500,auto,,
RDFlex,fuzzy,All,ML (NNet),-52.56,65.32,-0.8,0.421,-180.6,75.47,9500,auto,,
RDFlex,fuzzy,All,ML (SuperLearner),-49.91,64.17,-0.78,0.4367,-175.56,75.97,9500,auto,,
RDFlex,fuzzy,Auth,no covariates,95.33,68.77,1.39,0.1656,-39.73,229.83,2645,auto,,
RDFlex,fuzzy,Auth,linear (Ridge),194.24,187.2,1.04,0.2994,-178.6,561.14,2645,auto,,
RDFlex,fuzzy,Auth,ML (RandomForest),6300.65,22120.56,0.28,0.7758,-30369.26,56335.29,2645,auto,,
RDFlex,fuzzy,Auth,ML (LightGBM),79.83,63.92,1.25,0.2117,-49.25,203.75,2645,auto,,
RDFlex,fuzzy,Auth,ML (XGBoost),68.57,65.4,1.05,0.2944,-57.08,197.4,2645,auto,,
RDFlex,fuzzy,Auth,lasso+interactions,87.4,65.76,1.33,0.1838,-41.82,215.89,2645,auto,,
RDFlex,fuzzy,Auth,ML (NNet),79.83,68.21,1.17,0.2418,-52.15,211.24,2645,auto,,
RDFlex,fuzzy,Auth,ML (SuperLearner),86.34,66.5,1.3,0.1942,-44.27,216.35,2645,auto,,
RDFlex,fuzzy,Auth_NegRet,no covariates,188.43,119.33,1.58,0.1143,-47.71,422.32,1287,auto,,
RDFlex,fuzzy,Auth_NegRet,linear (Ridge),294.48,527.93,0.56,0.577,-1439.85,888.62,1287,auto,,
RDFlex,fuzzy,Auth_NegRet,ML (RandomForest),1879.06,1677.29,1.12,0.2626,-2324.46,5172.75,1287,auto,,
RDFlex,fuzzy,Auth_NegRet,ML (LightGBM),132.53,103.19,1.28,0.199,-67.83,334.78,1287,auto,,
RDFlex,fuzzy,Auth_NegRet,ML (XGBoost),150.27,107.67,1.4,0.1628,-60.84,361.37,1287,auto,,
RDFlex,fuzzy,Auth_NegRet,lasso+interactions,175.62,112.89,1.56,0.1198,-47.21,396.89,1287,auto,,
RDFlex,fuzzy,Auth_NegRet,ML (NNet),152.26,106.93,1.42,0.1545,-57.57,362.09,1287,auto,,
RDFlex,fuzzy,Auth_NegRet,ML (SuperLearner),164.96,115.78,1.42,0.1542,-58.55,391.01,1287,auto,,
RDFlex,fuzzy,Auth_PosRet,no covariates,13.91,64.31,0.22,0.8287,-112.4,140.09,1358,auto,,
RDFlex,fuzzy,Auth_PosRet,linear (Ridge),62.96,684.68,0.09,0.9267,-1278.99,1404.92,1358,auto,,
RDFlex,fuzzy,Auth_PosRet,ML (RandomForest),-555.07,15222.58,-0.04,0.9709,-32066.01,27603.88,1358,auto,,
RDFlex,fuzzy,Auth_PosRet,ML (LightGBM),3.78,66.73,0.06,0.9549,-128.62,132.5,1358,auto,,
RDFlex,fuzzy,Auth_PosRet,ML (XGBoost),12.68,64.8,0.2,0.8448,-114.56,139.93,1358,auto,,
RDFlex,fuzzy,Auth_PosRet,lasso+interactions,14.01,63.78,0.22,0.8261,-111.0,139.02,1358,auto,,
RDFlex,fuzzy,Auth_PosRet,ML (NNet),15.02,66.06,0.23,0.8201,-114.23,144.27,1358,auto,,
RDFlex,fuzzy,Auth_PosRet,ML (SuperLearner),19.8,65.81,0.3,0.7635,-108.69,148.3,1358,auto,,
